Tower of Lavish Thrones,Terrifying,YeetusTanghulu,crucio607,Scope 2 (CSCD),Linear/Technical/Jank/Purism,Raw Difficulty,Short (15+ min.),"April 14, 2022",https://www.youtube.com/embed/hbySlXy8XPU&ab_channel=aika
Tower of Thje Corner,Terrifying,skitsuna,AddisonJudah,N/A,Linear/Technical/Purism,Raw Difficulty,Extremely Short (5+ min.),"January 1, 2023",https://www.youtube.com/embed/VPp9h6X98Lc&ab_channel=Skitsuna
Tower of Duality,Terrifying,vt_et,Jilaric,Zone 4 (tower game),Technical/Jank/Purism,Raw Difficulty,Short (15+ min.),"April 15, 2023",http://www.youtube.com/embed/vCLixV2fWLA
Steeple of Wacky Obstructions,Terrifying,yezan1,Forstaken2008xs,N/A,Technical/Jank/Purism,Raw Difficulty,Extremely Short (5+ min.),"November 25, 2023",https://www.youtube.com/embed/b6SPO0xqbcM
Tower of Punishing Paroxysm,Terrifying,MythIX,Forstaken2008xs,N/A,Linear/Technical/Purism,"Raw Difficulty, Punishment",Short (15+ min.),"November 3, 2023",https://www.youtube.com/embed/JsotIncKhzA
Tower of Swift Chacine,Terrifying,Qriyxn,waasaabbi,Sword Fight Canyon (AToS),Client Objects/Linear/Technical,Raw Difficulty,Very Short (10+ min.),"November 16, 2021",https://www.youtube.com/embed/ICYfMwn0xwk
Tower of Sempiternal Disquietude,Terrifying,darkmatix_x,Various Creators,Ring 8 (AToS),Client Objects/Linear,Raw Difficulty,Moderate (20+ min.),"August 16, 2022",https://www.youtube.com/embed/UEKhpd8nwcQ
Tower of Hitbox and Health Abuse,Terrifying,port,bellaether,N/A,Client Objects/Technical,"Raw Difficulty, Punishment",Moderate (20+ min.),"February 15, 2024",https://www.youtube.com/embed/PY547dGIDXs
Tower of Short and Fatal Trouble,Terrifying,MythIX,BeatJToH,N/A,Client Objects/Technical,Raw Difficulty,Very Short (10+ min.),"June 17, 2023",https://www.youtube.com/embed/R3a5beL5KYk
Tower of Precariously Positioned Platforms,Terrifying,MythIX,MythIX,N/A,Client Objects/Linear,Raw Difficulty,Very Short (10+ min.),"April 16, 2023",https://www.youtube.com/embed/NLbA1A3FziQ
Tower of The Mewing Sigma,Terrifying,symmetric_al,SwetZ8,N/A,Linear/Client Objects,"Raw Difficulty, Punishment",Short (15+ min.),"March 19, 2024",https://www.youtube.com/embed/tRUiOc-pK_8
Tower of Atomical Geometry,Terrifying,Exzer,Various Creators,N/A,Client Objects/Linear/Technical,Raw Difficulty,Moderate (20+ min.),"July 7, 2023",https://www.youtube.com/embed/Lal39glHOpQ
Tower of Two Sided Misery,Terrifying,Gregre11,NuIlfied,Scope 2 (CSCD),Linear/Technical/Purism,Raw Difficulty,Moderate (20+ min.),"December 2, 2022",https://youtube.com/embed/Q54zGrHS2V0
Tower of Alien Radiance,Terrifying,Damjom,Heksi,Zone 5 (JToH),Client Objects/Technical,Raw Difficulty,Short (15+ min.),"June 5, 2021",https://www.youtube.com/embed/MLEnGAvIB4I
Tower of Agonizing Demise,Terrifying,llemented,"tojma07, Rogerthatx1",Scope 2 (CSCD),Technical/Linear/Purism,Raw Difficulty,Very Short (10+ min.),???,https://www.youtube.com/embed/chqOzJCwKu8&t=45s&ab_channel=llemented
Tower of Insensible Distress,Terrifying,zorloth1,xXDogeNgamerXx,N/A,Client Objects/Linear,Raw Difficulty,Short (15+ min.),"March 24, 2023",https://www.youtube.com/embed/n2erJKoZeEc
Tower of Hotel Exploration,Terrifying,joelkoot,SwetZ8,N/A,Classic,Raw Difficulty,Very Short (10+ min.),"November 6, 2023",https://youtube.com/embed/U6PNonznHoE
Tower of Umrah Market,Terrifying,MyntExists,indqx,Depth 4 (WToA),Linear/Technical,"Raw Difficulty, Punishment",Very Short (10+ min.),"June 6, 2023",https://www.youtube.com/embed/eG0h_8Se3tE
Tower of Itetsuku Hoshi,Terrifying,X2A3Q,X2A3Q,N/A,Technical/Linear/Purism,Raw Difficulty,Very Short (10+ min.),"October 8, 2022",https://www.youtube.com/embed/STB-nph33Qc
Tower of Quantum Quadrivium,Terrifying,OSCH2008,Lawnslayer,N/A,Client Objects/Technical,"Raw Difficulty, Punishment",Very Short (10+ min.),"August 13, 2023",https://www.youtube.com/embed/g_by721S99k
Tower of Melodramatic Esoteric Nebulosity,Terrifying,Livingonmycouch,Livingonmycouch,N/A,Client Objects/Technical/Linear,"Raw Difficulty, Punishment",Moderate (20+ min.),"March 14, 2024",https://www.youtube.com/embed/7r-a9zxBW0A
Tower of Specific and Precise Positioning,Terrifying,TotallyCoolAubrey,cloudycarmen001,N/A,Client Objects/Technical/Jank,Raw Difficulty,Short (15+ min.),"January 5, 2023",https://www.youtube.com/embed/rpeBp4c7Xhc&ab_channel=catgirlaubrey
Tower of Micro Management,Terrifying,TheAmazingObbyist,iiAlert,Zone 6 (JToH),Client Objects,"Raw Difficulty, Punishment",Moderate (20+ min.),???,https://www.youtube.com/embed/Rn8OK3cnUnU
Tower of Architectual Agony,Terrifying,lilFruitl00p,Various Creators,Domain 1 (CTT),Client Objects/Technical/Jank,Raw Difficulty,Very Short (10+ min.),"November 30, 2023",https://www.youtube.com/embed/Ajbn-dVHMZ0
Tower of Two Layered Terror,Terrifying,ChillUltralight,cybernetixzs,N/A,Client Objects/Linear/Technical,Raw Difficulty,Extremely Short (5+ min.),"October 27, 2023",https://www.youtube.com/embed/airADYDSUQQ
Tower of Indefinite Darkness,Terrifying,zorloth1,Apple_FlavoredWater,N/A,Client Objects/Linear,"Raw Difficulty, Punishment",Long (30+ min.),"March 12, 2023",https://www.youtube.com/embed/diCHNlYk1Hk&ab_channel=Zorloth
Tower of Scattered Challenges,Terrifying,Pink_Amigo,ruf_1,N/A,Client Objects/Linear,"Raw Difficulty, Punishment",Short (15+ min.),"September 15, 2023",https://www.youtube.com/embed/u7HebeUmhIw&t=0s
Tower of Painful Remembrance,Terrifying,KyleG250,shinryan12,Ring 3 (ZToA),Classic/Linear,Raw Difficulty,Moderate (20+ min.),"January 30, 2024",https://www.youtube.com/embed/sHcFE4W-oHg
Tower of Painful Poling,Terrifying,kluczdoskarbu,kluczdoskarbu,N/A,Client Objects/Linear,Raw Difficulty,Very Short (10+ min.),"April 25, 2023",https://www.youtube.com/embed/DXbXZuJy5DY
Tower of Anarchist Fantasies,Terrifying,Nechew,entanery,N/A,Client Objects/Linear,"Raw Difficulty, Punishment",Moderate (20+ min.),"October 25, 2022",https://youtube.com/embed/1T_IAIzxsTs
Tower of Raw Hotdog,Terrifying,Sliggaz,ScrambledCodes,N/A,Linear/Technical/Jank/Purism,Raw Difficulty,Very Short (10+ min.),"July 22, 2023",https://www.youtube.com/embed/19nyGFqcIO0
Tower of Frightening Nightmares,Terrifying,YeetusTanghulu,tintom495,Ring 5 (JToH),Classic/Client Objects,"Raw Difficulty, Punishment",Short (15+ min.),"June 9, 2021",https://www.youtube.com/embed/wcE7p3ehSkw
Tower of World's Hardest Tower,Terrifying,1i1Laser1i1,treeknighterr,N/A,Client Objects,Raw Difficulty,Moderate (20+ min.),"December 18, 2023",https://youtube.com/embed/X1fmBpMyxDY
Tower of Intricate Precision,Terrifying,Pink_Amigo,bAcON_hAiR4728,Scope 1 (CSCD),Client Objects/Linear/Technical,Raw Difficulty,Very Short (10+ min.),"July 31, 2022",https://www.youtube.com/embed/jGObyJt0oq4&ab_channel=pixik
Tower of Lunar Expansion,Terrifying,vt_et,Fabvil3,Scope 2 (CSCD),Client Objects/Technical,Raw Difficulty,Short (15+ min.),"August 25, 2023",https://www.youtube.com/embed/x4ew_faa15Y
Tower of Impossible Movement,Terrifying,bop1783,Feodoric,Ring 6 (JToH),Linear/Purism,Raw Difficulty,Very Short (10+ min.),"June 27, 2020",https://www.youtube.com/embed/u5rzUxiuGiE
Tower of Xerically Infuriating Calamity,Terrifying,cuddlyno321,0xit,Pit of Misery (JToH),Classic/Client Objects,Raw Difficulty,Very Short (10+ min.),"April 11, 2022",https://www.youtube.com/embed/8Z6EGnO5mQ8
Tower of Fractured Memories,Extreme,Conraderien,Various Creators,Zone 7 (JToH),Client Objects/Technical/Jank,Raw Difficulty,Moderate (20+ min.),"September 24, 2022",https://youtube.com/embed/Mm3J9wR5R3s
Tower of Externalizing Insanity,Extreme,Crimzenith,Crimzenith,Ring 8 (JToH),Purism/Linear/Technical,Raw Difficulty,Moderate (20+ min.),"November 20, 2021",https://www.youtube.com/embed/wTFoo7ZQ9Rw
Tower of Negative Reinforcement,Extreme,zorloth1,treeknighterr,N/A,Classic/Client Objects,Raw Difficulty,Long (30+ min.),"April 15, 2023",https://www.youtube.com/embed/smfo3mFRuNg
Tower of Panelling Barricades,Extreme,zorloth1,burgchin,N/A,Client Objects,Raw Difficulty,Short (15+ min.),"March 5, 2023",https://www.youtube.com/embed/KVafnEO_D6Y&ab_channel=Zorloth
Tower of Creature Feature,Extreme,Tylerlfc12,oomiet,Plate 20 (TBP),Client Objects/Technical/Linear,"Raw Difficulty, Punishment",Very Short (10+ min.),"April 3, 2024",https://www.youtube.com/embed/KVafnEO_D6Y&ab_channel=Zorloth
Tower of Shattered Resolve,Extreme,cuddlyno321,Thunder_10121,Scope 2 (CSCD),Client Objects/Technical/Jank,Raw Difficulty,Short (15+ min.),"November 28, 2022",https://www.youtube.com/embed/wu70jsTZdBU
Tower of Infuriating Supplement,Extreme,MythIX,"TheFancyNoob_X, Synchromatic",Ring 8 (AToS),Client Objects/Linear,Raw Difficulty,Moderate (20+ min.),"May 6, 2023",https://www.youtube.com/embed/dAluA7pHfyI
Tower of Uttermost Antagonism,Extreme,Scorionix,xxDuzeRxx,Realm 2 (AToS),Linear/Technical/Jank,Raw Difficulty,Short (15+ min.),"July 4, 2021",https://www.youtube.com/embed/GmItzhmc8OE
Tower of Raspy Cascades,Extreme,kluczdoskarbu,MrLegendairy,N/A,Linear/Technical,Raw Difficulty,Extremely Short (5+ min.),"September 29, 2022",https://www.youtube.com/embed/E2sRl3vG_3I
Steeple of Joon Yorigami,Extreme,zeverion,cloudycarmen001,N/A,Classic,Raw Difficulty,Extremely Short (5+ min.),"October 30, 2023",https://youtube.com/embed/Rgt6IIBxBqw
Tower of Excruciating Anguish,Extreme,Fuzzyrocks123,StormT1989,Ring 5 (AToS),Client Objects/Linear,"Raw Difficulty, Punishment",Long (30+ min.),"April 30, 2023",https://youtube.com/embed/5JU844S09IA
Tower of Terrifying Beauty,Extreme,Fuzzyrocks123,DispensableArray,Ring 7 (JToH),Client Objects,Raw Difficulty,Moderate (20+ min.),"October 25, 2022",https://youtube.com/embed/ctpowakZb78
Tower of Converged Agitation,Extreme,Fuzzyrocks123,"CosmikChaos, Fabvil3",N/A,Client Objects/Linear/Technical,Raw Difficulty,Short (15+ min.),"October 11, 2022",http://www.youtube.com/embed/V4vCGlUEFgY
Tower of Pure Dopamine,Extreme,TheJPEGDemom,atrwcity,Realm 3 (AToS),Client Objects,"Raw Difficulty, Punishment",Moderate (20+ min.),"December 23, 2022",https://www.youtube.com/embed/AFEyrM2eIh0
Tower of The Dripping Amalgam,Extreme,1fren6,treeknighterr,Zone 6 (JToH),Client Objects/Technical,Raw Difficulty,Short (15+ min.),"October 15, 2021",https://www.youtube.com/embed/Z4jtlUpeSsU
Tower of Underlying Grief,Extreme,MythIX,iiAlert,Scope 1 (CSCD),Client Objects/Linear,"Raw Difficulty, Punishment",Moderate (20+ min.),"May 10, 2023",https://www.youtube.com/embed/u-SX-0M-l_U
Tower of Strategic Mechanics,Extreme,newaccotherwas2good,ciel_azulsky,Ring 6 (JToH),Client Objects/Linear,"Raw Difficulty, Punishment",Long (30+ min.),"May 8, 2020",https://www.youtube.com/embed/54dZgbLONPM
Tower of Hopeless Hell,Extreme,???,xxDuzeRxx,Zone 3 (JToH),Linear/Technical/Jank/Purism,Raw Difficulty,Moderate (20+ min.),,
Tower of Astronomically Aimless Annoyances,Extreme,???,Cronku,Zone 4 (JToH),Client Objects/Linear/Technical,"Raw Difficulty, Punishment",Long (30+ min.),,
Tower of Pestiferous Line,Extreme,kasia15121987,"bellaether, DARSwe3",N/A,Client Objects/Technical,Raw Difficulty,Very Short (10+ min.),"March 7, 2023",https://www.youtube.com/live/RBd3k3DSQBw?feature=share
Tower of Kyoi Tekina,Extreme,Jordan_king10th,indqx,Ring 8 (AToS),Client Objects/Technical,Raw Difficulty,Extremely Short (5+ min.),"July 15, 2022",https://www.youtube.com/embed/wQyuNgvA7Ro&t=163s
Tower of Ruptured Division,Extreme,unviserr,CharlieWasFound,N/A,Client Objects/Technical,Raw Difficulty,Short (15+ min.),"August 19, 2022",https://youtube.com/embed/is3jv_QQbX4
Tower of Perplexity Tabulation,Extreme,Endoric,Various Creators,Ring 8 (AToS),Client Objects/Linear/Technical,Raw Difficulty,Moderate (20+ min.),"October 11, 2021",https://youtube.com/embed/TSpUyLtUo
Tower of Suffering Outside,Extreme,Bobbyboy123,AzaZeall,Ring 8 (JToH),Client Objects,Punishment,Moderate (20+ min.),"December 12, 2020",https://www.youtube.com/embed/Z4nQOvyXsb8&t=2s
