name,difficulty,verifier,creators,location,gpStyle,difficultySource,length,verifDate,videoLink
Tower of Fervent Imperfection,,JeanTheObbyist,AddisonJudah,N/A,Mixed,"Raw Difficulty, Punishment",Very Long (45+ min.),5/29/2024,https://www.youtube.com/embed/NA5xK81DE-U
Tower of Long Lasting Leukophobia,,ViraStarz,EGTVETHANGAMERTV3,N/A,"Purism, Technical",Raw Difficulty,Moderate (20+ min.),9/29/2022,https://youtube.com/embed/qBbaSFMSOiE
Tower of Cruel Underestimated Parkour,11.00,HecateZoe,shinryan12,Domain 1 (CTT),"Purism, Linear","Raw Difficulty, Punishment",Moderate (20+ min.),11/5/2022,https://www.youtube.com/embed/HAOvZXqkKLA
Steeple of Pine Apple,10.99,zeverion,tritone246,N/A,"Client Objects, Technical","Raw Difficulty, Punishment",Very Short (10+ min.),2/17/2024,https://www.youtube.com/embed/FZv-kGsdrjY
Tower of Inferno Galore,,xSatreme,Fauxyde,Scope 1 (CSCD),Classic,"Length, Punishment",Long (30+ min.),5/22/2024,https://www.youtube.com/embed/rJH5zoyl-hI
Tower of The Seventh Chromosome,,KyleG250x,FireToast2,N/A,"Client Objects, Linear",Raw Difficulty,Short (15+ min.),3/28/2024,https://www.youtube.com/embed/dt9ckN1sqN8
Tower of Decaying Serenity,,MythIX,???,N/A,"Client Objects, Technical",Raw Difficulty,Short (15+ min.),10/26/2022,https://www.youtube.com/embed/7bM6L_YxWRg
Tower of Monty Mole Mayhem,,UnoLuno12,Spiker217,N/A,"Client Objects, Technical","Length, Raw Difficulty",Long (30+ min.),3/12/2023,https://www.youtube.com/embed/gjgvwSqZva4
Tower of Yummy Hotdog,,Sliggaz,ScrambledCodes,N/A,Purism,Raw Difficulty,Very Short (10+ min.),7/24/2023,https://www.youtube.com/embed/CoWns5qnQ7I
Tower of Chromatic Inclination,,synflower,indqx,Realm 4 (AToS),"Client Objects, Technical",Raw Difficulty,Moderate (20+ min.),6/3/2024,https://www.youtube.com/embed/f7F2PKdbvVE
Tower of Interdimensional Rifts,,cooldabadam,burgchin,N/A,Client Objects,"Raw Difficulty, Punishment",Short (15+ min.),5/14/2023,https://www.youtube.com/embed/eqF_DxZUK64
Tower of Perplexed Ascent,,Crimzenith,aetrnaC,N/A,Classic,Raw Difficulty,Moderate (20+ min.),9/2/2023,https://www.youtube.com/embed/dW6cSnOE8Mw
Tower of Precise Turns,,7m6l,1maxiuns,N/A,"Purism, Linear",Raw Difficulty,Short (15+ min.),9/3/2023,https://www.youtube.com/embed/pP_-dOR-kVw
Tower of Atrocious Truss Catastrophe,,bop1783,vipsem,N/A,Technical,Raw Difficulty,Very Short (10+ min.),6/20/2022,https://www.youtube.com/embed/Hqpzf1E5_Vg
Tower of Cataclysmic Layers,,BlakeisEpic44,indqx,N/A,Purism,"Raw Difficulty, Punishment",Very Short (10+ min.),7/18/2022,https://www.youtube.com/embed/4doPQQ-26DE
Tower of Augmented Misery,,47avaa,"franchun04, 1fren6",Ring 9 (JToH),Client Objects,"Raw Difficulty, Punishment",Moderate (20+ min.),7/20/2022,https://www.youtube.com/embed/19Zmj6dJk08
Tower of Hell and Despair,,darkmatix,X2A3Q,N/A,,,,7/25/2024,https://www.youtube.com/embed/SECMYXgL3VM
Tower of Unrelenting Precipice,,adazeap_JToH,PoppinKenny07,The Eternal Abyss,Client Objects,Raw Difficulty,Moderate (20+ min.),3/31/2024,https://youtube.com/embed/ySpdPHTxDzA
Tower of Radioactive Inclusions,,xSatreme,ToxicToChildren,N/A,"Client Objects, Linear",Raw Difficulty,Very Short (10+ min.),11/29/2023,https://www.youtube.com/embed/CARtESV9Dsw
Tower of Overthinking Life Choices,,p_anap,It_Near,Pit of Misery (JToH),Client Objects,"Length, Punishment",Very Long (45+ min.),9/4/2022,https://youtube.com/embed/pCY0R3VxwwQ
Tower of Wayward Venture,,Incindius,Various Creators,N/A,"Client Objects, Technical",Raw Difficulty,Very Short (10+ min.),6/26/2023,https://www.youtube.com/embed/iwPAsWPy504
Tower of Inception,,JasonJagger,It_Near,Ring 4 (JToH),Classic,"Length, Punishment",Long (30+ min.),8/5/2022,https://www.youtube.com/embed/zYHw3Q-gMMk
Tower of Vindictive Maneuvers,,cuddlyno321,coooldude99099,Pit of Misery (JToH),"Classic, Client Objects","Length, Punishment",Long (30+ min.),4/9/2022,https://www.youtube.com/embed/b8LV93BeI20
Tower of Circuitous Spiral,,lilFruitl00p,regular2uzu,N/A,"Client Objects, Linear","Length, Punishment",Moderate (20+ min.),12/10/2023,https://youtube.com/embed/6QCh8JhGyEk?si=uKxpJYXBk1ou3blZ
Tower of Flummin' Time,,Crimzenith,Clever_Daniel,N/A,"Purism, Technical",Raw Difficulty,Very Short (10+ min.),6/6/2024,https://www.youtube.com/embed/Ib_8dLGykkc
Tower of Heinous Interference,,Sagxtar,Sagxtar,N/A,"Purism, Linear",Raw Difficulty,Short (15+ min.),11/22/2023,https://www.youtube.com/embed/Zojf7iZL7dY
Tower of Nervous Sweating,,ViraStarz,Salveritie,Ring 9 (JToH),Client Objects,"Raw Difficulty, Punishment",Moderate (20+ min.),2/29/2024,https://www.youtube.com/embed/3KWssWxaEQs
